iter	RMSE
0	14.81828796
1	14.43820722
2	14.06632629
3	13.72258757
4	13.36433045
5	13.04194364
6	12.73084623
7	12.46724747
8	12.17036703
9	11.87650028
10	11.59644469
11	11.34510122
12	11.13058421
13	10.89077913
14	10.65909595
15	10.41284595
16	10.20017005
17	9.987542892
18	9.782334536
19	9.587857766
20	9.418305618
21	9.243991112
22	9.065131876
23	8.898004768
24	8.740376941
25	8.607713735
26	8.458247437
27	8.328586613
28	8.197840529
29	8.074460014
30	7.971983132
31	7.851377361
32	7.747121364
33	7.639384947
34	7.54148559
35	7.446517889
36	7.354350415
37	7.279382768
38	7.195020612
39	7.111949832
40	7.043695511
41	6.976157798
42	6.910836174
43	6.856955959
44	6.791679177
45	6.729057997
46	6.671830527
47	6.617864274
48	6.557149537
49	6.506022374
50	6.456840494
51	6.409303472
52	6.360732472
53	6.314481117
54	6.271434361
55	6.231238738
56	6.194001688
57	6.160746998
58	6.124976594
59	6.094034555
60	6.058122538
61	6.026065235
62	5.990453561
63	5.955445127
64	5.928175674
65	5.89994889
66	5.869858296
67	5.843943459
68	5.825898401
69	5.796537863
70	5.775409342
71	5.750559337
72	5.727367311
73	5.706074601
74	5.688221747
75	5.667303091
76	5.649867427
77	5.632095152
78	5.615539668
79	5.599156969
80	5.58798382
81	5.569349938
82	5.552096377
83	5.536771271
84	5.531173893
85	5.517413355
86	5.509863938
87	5.49728545
88	5.482970892
89	5.468620273
90	5.456779968
91	5.444982346
92	5.439852074
93	5.427252056
94	5.416518851
95	5.406217721
96	5.398309848
97	5.390055645
98	5.379095347
99	5.369194575
100	5.358852695
101	5.347562922
102	5.341642912
103	5.332376227
104	5.322707514
105	5.314610973
106	5.310130934
107	5.305362605
108	5.296747292
109	5.28938157
110	5.283092012
111	5.274470171
112	5.268633694
113	5.262123091
114	5.256515597
115	5.251241781
116	5.243160857
117	5.236373157
118	5.22516587
119	5.222467096
120	5.219073778
121	5.213727744
122	5.20769668
123	5.198874345
124	5.194934674
125	5.186510327
126	5.180722797
127	5.174957057
128	5.163419176
129	5.159874776
130	5.155390293
131	5.150064083
132	5.144413839
133	5.14177505
134	5.135829349
135	5.133720484
136	5.128123774
137	5.123744484
138	5.1201121
139	5.115254427
140	5.112822393
141	5.109678845
142	5.106245148
143	5.103308684
144	5.097563699
145	5.095001048
146	5.09189569
147	5.088056721
148	5.081598525
149	5.078245027
150	5.074713626
151	5.069780788
152	5.065734044
153	5.060816334
154	5.056398621
155	5.050936424
156	5.041403183
157	5.034435119
158	5.033325347
159	5.028475889
160	5.024330208
161	5.021216385
162	5.018580455
163	5.015479985
164	5.008095596
165	5.004354294
166	4.999630476
167	4.992921616
168	4.987603497
169	4.984438414
170	4.979368341
171	4.975998635
172	4.972228174
173	4.968162555
174	4.964021565
175	4.959729749
176	4.957504153
177	4.954841568
178	4.95262794
179	4.947939392
180	4.94327414
181	4.940492066
182	4.935760129
183	4.932004048
184	4.925420197
185	4.918988788
186	4.91456358
187	4.910506661
188	4.909360351
189	4.9070431
190	4.902860187
191	4.900712181
192	4.895361887
193	4.893183106
194	4.890369694
195	4.885917009
196	4.882369876
197	4.876591854
198	4.873096954
199	4.870280513
200	4.865280618
201	4.861366947
202	4.858185634
203	4.856402779
204	4.854655145
205	4.850189955
206	4.848550743
207	4.843856402
208	4.839886205
209	4.835960455
210	4.834214045
211	4.83166562
212	4.828334373
213	4.826154888
214	4.823855319
215	4.820617113
216	4.814831864
217	4.810612722
218	4.807510741
219	4.803830764
220	4.802856736
221	4.799049272
222	4.794612266
223	4.791391982
224	4.784830178
225	4.782602078
226	4.7804461
227	4.777861131
228	4.775180449
229	4.771244341
230	4.768328668
231	4.76614601
232	4.764376311
233	4.761606883
234	4.759806649
235	4.756020652
236	4.751876958
237	4.748552342
238	4.744304674
239	4.740505995
240	4.736792659
241	4.735418596
242	4.734012888
243	4.731023118
244	4.724138906
245	4.719293271
246	4.713688068
247	4.710806486
248	4.706086988
249	4.702309718
250	4.699385178
251	4.694441918
252	4.692066237
253	4.690984679
254	4.688701909
255	4.683956064
256	4.680533365
257	4.676032784
258	4.673756735
259	4.66946736
260	4.666979391
261	4.661933581
262	4.657977535
263	4.651131575
264	4.647255787
265	4.645463275
266	4.640028768
267	4.638292474
268	4.634839034
269	4.632269969
270	4.628160001
271	4.622097052
272	4.621304828
273	4.617685693
274	4.613243547
275	4.610949078
276	4.604320306
277	4.602519828
278	4.59815333
279	4.593989954
280	4.590632691
281	4.586396159
282	4.585823805
283	4.581024544
284	4.577643817
285	4.573287702
286	4.571819105
287	4.568963745
288	4.563381779
289	4.558945338
290	4.557603407
291	4.552397161
292	4.546465725
293	4.544425245
294	4.54332828
295	4.541896689
296	4.535692403
297	4.532465855
298	4.531431816
299	4.531070717
300	4.527940014
301	4.525249188
302	4.521649255
303	4.519371586
304	4.518342928
305	4.51362291
306	4.512625399
307	4.508056038
308	4.504474666
309	4.50230515
310	4.498914978
311	4.494095089
312	4.488560602
313	4.487526362
314	4.482479114
315	4.476927173
316	4.471510846
317	4.46586806
318	4.462810285
319	4.462048076
320	4.458717691
321	4.456515374
322	4.452971955
323	4.449832353
324	4.448150643
325	4.447653065
326	4.445312259
327	4.439980363
328	4.436938576
329	4.434571979
330	4.43410476
331	4.4333613
332	4.428626682
333	4.425441679
334	4.42127546
335	4.416136899
336	4.412334435
337	4.411615896
338	4.408405456
339	4.405803838
340	4.405239809
341	4.402654339
342	4.398626684
343	4.397509697
344	4.394554364
345	4.393529623
346	4.390768214
347	4.388832774
348	4.386540448
349	4.383526706
350	4.377451979
351	4.374972921
352	4.374425212
353	4.37070741
354	4.370348246
355	4.366093401
356	4.36582124
357	4.363676689
358	4.358280318
359	4.354570038
360	4.348670126
361	4.3439542
