iter	Passed	Remaining
0	1	125
1	2	104
2	2	95
3	3	89
4	4	86
5	5	85
6	6	82
7	7	80
8	7	79
9	8	77
10	9	76
11	10	75
12	11	74
13	12	74
14	12	73
15	13	72
16	14	71
17	15	70
18	16	70
19	17	69
20	18	68
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	24	61
28	24	60
29	25	59
30	26	58
31	27	57
32	28	56
33	28	56
34	29	55
35	30	53
36	31	52
37	31	52
38	32	51
39	33	50
40	34	49
41	35	48
42	36	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	25
69	56	24
70	57	23
71	58	22
72	58	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	77	4
95	77	3
96	78	2
97	79	1
98	80	0
99	80	0
